地域コード,地域,調査年コード,調査年,15歳未満人口割合,65歳以上人口割合,課税対象所得
1100,北海道 札幌市,2015,2015年度,11.32,24.767,2535322425.0
1100,北海道 札幌市,2010,2010年度,11.717,20.475,2405159500.0
1100,北海道 札幌市,2005,2005年度,12.446,17.301,2453867383.0
1100,北海道 札幌市,2000,2000年度,13.631,14.418,2585636691.0
1100,北海道 札幌市,1995,1995年度,15.553,11.548,2585063191.0
1100,北海道 札幌市,1990,1990年度,18.166,9.095,2078277783.0
1101,北海道 札幌市 中央区,2015,2015年度,10.099,21.267,
1101,北海道 札幌市 中央区,2010,2010年度,10.105,18.734,
1101,北海道 札幌市 中央区,2005,2005年度,10.441,17.335,
1101,北海道 札幌市 中央区,2000,2000年度,11.046,16.045,
1101,北海道 札幌市 中央区,1995,1995年度,12.251,13.811,
1101,北海道 札幌市 中央区,1990,1990年度,14.343,11.292,
1102,北海道 札幌市 北区,2015,2015年度,11.536,24.169,
1102,北海道 札幌市 北区,2010,2010年度,12.262,20.068,
1102,北海道 札幌市 北区,2005,2005年度,12.704,16.988,
1102,北海道 札幌市 北区,2000,2000年度,13.454,13.931,
1102,北海道 札幌市 北区,1995,1995年度,15.101,11.243,
1102,北海道 札幌市 北区,1990,1990年度,17.202,9.009,
1103,北海道 札幌市 東区,2015,2015年度,11.728,23.461,
1103,北海道 札幌市 東区,2010,2010年度,12.197,19.294,
1103,北海道 札幌市 東区,2005,2005年度,12.908,16.193,
1103,北海道 札幌市 東区,2000,2000年度,13.7,13.749,
1103,北海道 札幌市 東区,1995,1995年度,15.361,11.146,
1103,北海道 札幌市 東区,1990,1990年度,18.427,8.858,
1104,北海道 札幌市 白石区,2015,2015年度,11.256,22.845,
1104,北海道 札幌市 白石区,2010,2010年度,11.602,19.004,
1104,北海道 札幌市 白石区,2005,2005年度,12.05,16.178,
1104,北海道 札幌市 白石区,2000,2000年度,12.891,13.423,
1104,北海道 札幌市 白石区,1995,1995年度,14.373,10.643,
1104,北海道 札幌市 白石区,1990,1990年度,16.759,8.466,
1105,北海道 札幌市 豊平区,2015,2015年度,10.915,23.534,
1105,北海道 札幌市 豊平区,2010,2010年度,11.085,20.146,
1105,北海道 札幌市 豊平区,2005,2005年度,11.624,17.202,
1105,北海道 札幌市 豊平区,2000,2000年度,12.159,14.405,
1105,北海道 札幌市 豊平区,1995,1995年度,15.915,10.947,
