"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"01100","北海道 札幌市","2015100000","2015年度","","11.320","","24.767",""
"01100","北海道 札幌市","2010100000","2010年度","","11.717","","20.475",""
"01100","北海道 札幌市","2005100000","2005年度","","12.446","","17.301",""
"01100","北海道 札幌市","2000100000","2000年度","","13.631","","14.418",""
"01100","北海道 札幌市","1995100000","1995年度","","15.553","","11.548",""
"01100","北海道 札幌市","1990100000","1990年度","","18.166","","9.095",""
"01100","北海道 札幌市","1985100000","1985年度","","21.328","","7.458",""
"01100","北海道 札幌市","1980100000","1980年度","","23.076","","6.238",""
"01101","北海道 札幌市 中央区","2015100000","2015年度","","10.099","","21.267",""
"01101","北海道 札幌市 中央区","2010100000","2010年度","","10.105","","18.734",""
"01101","北海道 札幌市 中央区","2005100000","2005年度","","10.441","","17.335",""
"01101","北海道 札幌市 中央区","2000100000","2000年度","","11.046","","16.045",""
"01101","北海道 札幌市 中央区","1995100000","1995年度","","12.251","","13.811",""
"01101","北海道 札幌市 中央区","1990100000","1990年度","","14.343","","11.292",""
"01101","北海道 札幌市 中央区","1985100000","1985年度","","16.786","","9.970",""
"01101","北海道 札幌市 中央区","1980100000","1980年度","","17.829","","8.627",""
"01102","北海道 札幌市 北区","2015100000","2015年度","","11.536","","24.169",""
"01102","北海道 札幌市 北区","2010100000","2010年度","","12.262","","20.068",""
"01102","北海道 札幌市 北区","2005100000","2005年度","","12.704","","16.988",""
"01102","北海道 札幌市 北区","2000100000","2000年度","","13.454","","13.931",""
"01102","北海道 札幌市 北区","1995100000","1995年度","","15.101","","11.243",""
"01102","北海道 札幌市 北区","1990100000","1990年度","","17.202","","9.009",""
"01102","北海道 札幌市 北区","1985100000","1985年度","","20.359","","7.431",""
"01102","北海道 札幌市 北区","1980100000","1980年度","","22.474","","6.007",""
"01103","北海道 札幌市 東区","2015100000","2015年度","","11.728","","23.461",""
"01103","北海道 札幌市 東区","2010100000","2010年度","","12.197","","19.294",""
"01103","北海道 札幌市 東区","2005100000","2005年度","","12.908","","16.193",""
"01103","北海道 札幌市 東区","2000100000","2000年度","","13.700","","13.749",""
"01103","北海道 札幌市 東区","1995100000","1995年度","","15.361","","11.146",""
"01103","北海道 札幌市 東区","1990100000","1990年度","","18.427","","8.858",""
"01103","北海道 札幌市 東区","1985100000","1985年度","","22.143","","7.144",""
"01103","北海道 札幌市 東区","1980100000","1980年度","","23.296","","5.828",""
"01104","北海道 札幌市 白石区","2015100000","2015年度","","11.256","","22.845",""
"01104","北海道 札幌市 白石区","2010100000","2010年度","","11.602","","19.004",""
"01104","北海道 札幌市 白石区","2005100000","2005年度","","12.050","","16.178",""
"01104","北海道 札幌市 白石区","2000100000","2000年度","","12.891","","13.423",""
"01104","北海道 札幌市 白石区","1995100000","1995年度","","14.373","","10.643",""
"01104","北海道 札幌市 白石区","1990100000","1990年度","","16.759","","8.466",""
"01104","北海道 札幌市 白石区","1985100000","1985年度","","22.498","","6.832",""
"01104","北海道 札幌市 白石区","1980100000","1980年度","","25.219","","5.837",""
"01105","北海道 札幌市 豊平区","2015100000","2015年度","","10.915","","23.534",""
"01105","北海道 札幌市 豊平区","2010100000","2010年度","","11.085","","20.146",""
"01105","北海道 札幌市 豊平区","2005100000","2005年度","","11.624","","17.202",""
"01105","北海道 札幌市 豊平区","2000100000","2000年度","","12.159","","14.405",""
"01105","北海道 札幌市 豊平区","1995100000","1995年度","","15.915","","10.947",""
"01105","北海道 札幌市 豊平区","1990100000","1990年度","","18.254","","8.526",""
"01105","北海道 札幌市 豊平区","1985100000","1985年度","","20.926","","6.643",""
