"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01100","北海道 札幌市","2019100000","2019年度","","202",""
"01100","北海道 札幌市","2018100000","2018年度","","202",""
"01100","北海道 札幌市","2017100000","2017年度","","202",""
"01100","北海道 札幌市","2016100000","2016年度","","203",""
"01100","北海道 札幌市","2015100000","2015年度","","204",""
"01100","北海道 札幌市","2014100000","2014年度","","205",""
"01100","北海道 札幌市","2013100000","2013年度","","207",""
"01100","北海道 札幌市","2012100000","2012年度","","206",""
"01100","北海道 札幌市","2011100000","2011年度","","206",""
"01100","北海道 札幌市","2010100000","2010年度","","208",""
"01100","北海道 札幌市","2009100000","2009年度","","209",""
"01100","北海道 札幌市","2008100000","2008年度","","209",""
"01100","北海道 札幌市","2007100000","2007年度","","213",""
"01100","北海道 札幌市","2006100000","2006年度","","217",""
"01100","北海道 札幌市","2005100000","2005年度","","219",""
"01100","北海道 札幌市","2004100000","2004年度","","219",""
"01100","北海道 札幌市","2003100000","2003年度","","221",""
"01100","北海道 札幌市","2002100000","2002年度","","221",""
"01100","北海道 札幌市","2001100000","2001年度","","221",""
"01100","北海道 札幌市","2000100000","2000年度","","221",""
"01100","北海道 札幌市","1999100000","1999年度","","221",""
"01100","北海道 札幌市","1998100000","1998年度","","223",""
"01100","北海道 札幌市","1997100000","1997年度","","226",""
"01101","北海道 札幌市 中央区","2019100000","2019年度","","39",""
"01101","北海道 札幌市 中央区","2018100000","2018年度","","39",""
"01101","北海道 札幌市 中央区","2017100000","2017年度","","39",""
"01101","北海道 札幌市 中央区","2016100000","2016年度","","38",""
"01101","北海道 札幌市 中央区","2015100000","2015年度","","37",""
"01101","北海道 札幌市 中央区","2014100000","2014年度","","38",""
"01101","北海道 札幌市 中央区","2013100000","2013年度","","38",""
"01101","北海道 札幌市 中央区","2012100000","2012年度","","38",""
"01101","北海道 札幌市 中央区","2011100000","2011年度","","39",""
"01101","北海道 札幌市 中央区","2010100000","2010年度","","40",""
"01101","北海道 札幌市 中央区","2009100000","2009年度","","41",""
"01101","北海道 札幌市 中央区","2008100000","2008年度","","41",""
"01101","北海道 札幌市 中央区","2007100000","2007年度","","41",""
"01101","北海道 札幌市 中央区","2006100000","2006年度","","42",""
"01101","北海道 札幌市 中央区","2005100000","2005年度","","42",""
"01101","北海道 札幌市 中央区","2004100000","2004年度","","42",""
"01101","北海道 札幌市 中央区","2003100000","2003年度","","42",""
"01101","北海道 札幌市 中央区","2002100000","2002年度","","42",""
"01101","北海道 札幌市 中央区","2001100000","2001年度","","41",""
"01101","北海道 札幌市 中央区","2000100000","2000年度","","41",""
"01101","北海道 札幌市 中央区","1999100000","1999年度","","41",""
"01101","北海道 札幌市 中央区","1998100000","1998年度","","42",""
"01101","北海道 札幌市 中央区","1997100000","1997年度","","43",""
"01102","北海道 札幌市 北区","2019100000","2019年度","","24",""
"01102","北海道 札幌市 北区","2018100000","2018年度","","24",""
"01102","北海道 札幌市 北区","2017100000","2017年度","","24",""
"01102","北海道 札幌市 北区","2016100000","2016年度","","24",""
"01102","北海道 札幌市 北区","2015100000","2015年度","","24",""
"01102","北海道 札幌市 北区","2014100000","2014年度","","24",""
"01102","北海道 札幌市 北区","2013100000","2013年度","","24",""
"01102","北海道 札幌市 北区","2012100000","2012年度","","24",""
"01102","北海道 札幌市 北区","2011100000","2011年度","","24",""
"01102","北海道 札幌市 北区","2010100000","2010年度","","24",""
"01102","北海道 札幌市 北区","2009100000","2009年度","","25",""
"01102","北海道 札幌市 北区","2008100000","2008年度","","25",""
"01102","北海道 札幌市 北区","2007100000","2007年度","","26",""
"01102","北海道 札幌市 北区","2006100000","2006年度","","26",""
"01102","北海道 札幌市 北区","2005100000","2005年度","","27",""
"01102","北海道 札幌市 北区","2004100000","2004年度","","26",""
"01102","北海道 札幌市 北区","2003100000","2003年度","","28",""
"01102","北海道 札幌市 北区","2002100000","2002年度","","29",""
"01102","北海道 札幌市 北区","2001100000","2001年度","","30",""
"01102","北海道 札幌市 北区","2000100000","2000年度","","30",""
"01102","北海道 札幌市 北区","1999100000","1999年度","","30",""
"01102","北海道 札幌市 北区","1998100000","1998年度","","30",""
"01102","北海道 札幌市 北区","1997100000","1997年度","","30",""
"01103","北海道 札幌市 東区","2019100000","2019年度","","24",""
"01103","北海道 札幌市 東区","2018100000","2018年度","","24",""
"01103","北海道 札幌市 東区","2017100000","2017年度","","24",""
"01103","北海道 札幌市 東区","2016100000","2016年度","","24",""
"01103","北海道 札幌市 東区","2015100000","2015年度","","25",""
"01103","北海道 札幌市 東区","2014100000","2014年度","","23",""
"01103","北海道 札幌市 東区","2013100000","2013年度","","23",""
"01103","北海道 札幌市 東区","2012100000","2012年度","","22",""
"01103","北海道 札幌市 東区","2011100000","2011年度","","22",""
"01103","北海道 札幌市 東区","2010100000","2010年度","","23",""
"01103","北海道 札幌市 東区","2009100000","2009年度","","22",""
"01103","北海道 札幌市 東区","2008100000","2008年度","","22",""
"01103","北海道 札幌市 東区","2007100000","2007年度","","23",""
"01103","北海道 札幌市 東区","2006100000","2006年度","","24",""
"01103","北海道 札幌市 東区","2005100000","2005年度","","24",""
"01103","北海道 札幌市 東区","2004100000","2004年度","","25",""
"01103","北海道 札幌市 東区","2003100000","2003年度","","26",""
"01103","北海道 札幌市 東区","2002100000","2002年度","","26",""
"01103","北海道 札幌市 東区","2001100000","2001年度","","26",""
"01103","北海道 札幌市 東区","2000100000","2000年度","","26",""
"01103","北海道 札幌市 東区","1999100000","1999年度","","25",""
"01103","北海道 札幌市 東区","1998100000","1998年度","","25",""
"01103","北海道 札幌市 東区","1997100000","1997年度","","25",""
"01104","北海道 札幌市 白石区","2019100000","2019年度","","21",""
"01104","北海道 札幌市 白石区","2018100000","2018年度","","21",""
"01104","北海道 札幌市 白石区","2017100000","2017年度","","21",""
"01104","北海道 札幌市 白石区","2016100000","2016年度","","21",""
"01104","北海道 札幌市 白石区","2015100000","2015年度","","21",""
"01104","北海道 札幌市 白石区","2014100000","2014年度","","21",""
"01104","北海道 札幌市 白石区","2013100000","2013年度","","22",""
"01104","北海道 札幌市 白石区","2012100000","2012年度","","22",""
