"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01100","北海道 札幌市","2000100000","2000年度","","2,585,636,691",""
"01100","北海道 札幌市","1999100000","1999年度","","2,625,169,829",""
"01100","北海道 札幌市","1998100000","1998年度","","2,703,181,842",""
"01100","北海道 札幌市","1997100000","1997年度","","2,709,148,076",""
"01100","北海道 札幌市","1996100000","1996年度","","2,624,066,027",""
"01100","北海道 札幌市","1995100000","1995年度","","2,585,063,191",""
"01100","北海道 札幌市","1994100000","1994年度","","2,551,607,612",""
"01100","北海道 札幌市","1993100000","1993年度","","2,468,662,419",""
"01100","北海道 札幌市","1992100000","1992年度","","2,512,519,342",""
"01100","北海道 札幌市","1991100000","1991年度","","2,389,750,921",""
"01100","北海道 札幌市","1990100000","1990年度","","2,078,277,783",""
"01100","北海道 札幌市","1989100000","1989年度","","1,886,186,795",""
"01101","北海道 札幌市 中央区","2000100000","2000年度","","-",""
"01101","北海道 札幌市 中央区","1999100000","1999年度","","-",""
"01101","北海道 札幌市 中央区","1998100000","1998年度","","-",""
"01101","北海道 札幌市 中央区","1997100000","1997年度","","-",""
"01101","北海道 札幌市 中央区","1996100000","1996年度","","-",""
"01101","北海道 札幌市 中央区","1995100000","1995年度","","-",""
"01101","北海道 札幌市 中央区","1994100000","1994年度","","-",""
"01101","北海道 札幌市 中央区","1993100000","1993年度","","-",""
"01101","北海道 札幌市 中央区","1992100000","1992年度","","-",""
"01101","北海道 札幌市 中央区","1991100000","1991年度","","-",""
"01101","北海道 札幌市 中央区","1990100000","1990年度","","-",""
"01101","北海道 札幌市 中央区","1989100000","1989年度","","-",""
"01102","北海道 札幌市 北区","2000100000","2000年度","","-",""
"01102","北海道 札幌市 北区","1999100000","1999年度","","-",""
"01102","北海道 札幌市 北区","1998100000","1998年度","","-",""
"01102","北海道 札幌市 北区","1997100000","1997年度","","-",""
"01102","北海道 札幌市 北区","1996100000","1996年度","","-",""
"01102","北海道 札幌市 北区","1995100000","1995年度","","-",""
"01102","北海道 札幌市 北区","1994100000","1994年度","","-",""
"01102","北海道 札幌市 北区","1993100000","1993年度","","-",""
"01102","北海道 札幌市 北区","1992100000","1992年度","","-",""
"01102","北海道 札幌市 北区","1991100000","1991年度","","-",""
"01102","北海道 札幌市 北区","1990100000","1990年度","","-",""
"01102","北海道 札幌市 北区","1989100000","1989年度","","-",""
"01103","北海道 札幌市 東区","2000100000","2000年度","","-",""
"01103","北海道 札幌市 東区","1999100000","1999年度","","-",""
"01103","北海道 札幌市 東区","1998100000","1998年度","","-",""
"01103","北海道 札幌市 東区","1997100000","1997年度","","-",""
"01103","北海道 札幌市 東区","1996100000","1996年度","","-",""
"01103","北海道 札幌市 東区","1995100000","1995年度","","-",""
"01103","北海道 札幌市 東区","1994100000","1994年度","","-",""
"01103","北海道 札幌市 東区","1993100000","1993年度","","-",""
"01103","北海道 札幌市 東区","1992100000","1992年度","","-",""
"01103","北海道 札幌市 東区","1991100000","1991年度","","-",""
"01103","北海道 札幌市 東区","1990100000","1990年度","","-",""
"01103","北海道 札幌市 東区","1989100000","1989年度","","-",""
"01104","北海道 札幌市 白石区","2000100000","2000年度","","-",""
"01104","北海道 札幌市 白石区","1999100000","1999年度","","-",""
"01104","北海道 札幌市 白石区","1998100000","1998年度","","-",""
"01104","北海道 札幌市 白石区","1997100000","1997年度","","-",""
"01104","北海道 札幌市 白石区","1996100000","1996年度","","-",""
"01104","北海道 札幌市 白石区","1995100000","1995年度","","-",""
"01104","北海道 札幌市 白石区","1994100000","1994年度","","-",""
"01104","北海道 札幌市 白石区","1993100000","1993年度","","-",""
"01104","北海道 札幌市 白石区","1992100000","1992年度","","-",""
"01104","北海道 札幌市 白石区","1991100000","1991年度","","-",""
"01104","北海道 札幌市 白石区","1990100000","1990年度","","-",""
"01104","北海道 札幌市 白石区","1989100000","1989年度","","-",""
"01105","北海道 札幌市 豊平区","2000100000","2000年度","","-",""
"01105","北海道 札幌市 豊平区","1999100000","1999年度","","-",""
"01105","北海道 札幌市 豊平区","1998100000","1998年度","","-",""
"01105","北海道 札幌市 豊平区","1997100000","1997年度","","-",""
