"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01100","北海道 札幌市","2020100000","2020年度","","2,878,113,816",""
"01100","北海道 札幌市","2019100000","2019年度","","2,838,809,167",""
"01100","北海道 札幌市","2018100000","2018年度","","2,765,204,529",""
"01100","北海道 札幌市","2017100000","2017年度","","2,679,885,896",""
"01100","北海道 札幌市","2016100000","2016年度","","2,604,959,189",""
"01100","北海道 札幌市","2015100000","2015年度","","2,535,322,425",""
"01100","北海道 札幌市","2014100000","2014年度","","2,494,376,210",""
"01100","北海道 札幌市","2013100000","2013年度","","2,411,649,594",""
"01100","北海道 札幌市","2012100000","2012年度","","2,389,915,345",""
"01100","北海道 札幌市","2011100000","2011年度","","2,384,902,068",""
"01100","北海道 札幌市","2010100000","2010年度","","2,405,159,500",""
"01100","北海道 札幌市","2009100000","2009年度","","2,501,620,684",""
"01100","北海道 札幌市","2008100000","2008年度","","2,540,814,851",""
"01100","北海道 札幌市","2007100000","2007年度","","2,554,005,555",""
"01100","北海道 札幌市","2006100000","2006年度","","2,554,888,678",""
"01100","北海道 札幌市","2005100000","2005年度","","2,453,867,383",""
"01100","北海道 札幌市","2004100000","2004年度","","2,445,522,075",""
"01100","北海道 札幌市","2003100000","2003年度","","2,489,731,041",""
"01100","北海道 札幌市","2002100000","2002年度","","2,531,387,587",""
"01100","北海道 札幌市","2001100000","2001年度","","2,554,855,915",""
"01101","北海道 札幌市 中央区","2020100000","2020年度","","-",""
"01101","北海道 札幌市 中央区","2019100000","2019年度","","-",""
"01101","北海道 札幌市 中央区","2018100000","2018年度","","-",""
"01101","北海道 札幌市 中央区","2017100000","2017年度","","-",""
"01101","北海道 札幌市 中央区","2016100000","2016年度","","-",""
"01101","北海道 札幌市 中央区","2015100000","2015年度","","-",""
"01101","北海道 札幌市 中央区","2014100000","2014年度","","-",""
"01101","北海道 札幌市 中央区","2013100000","2013年度","","-",""
"01101","北海道 札幌市 中央区","2012100000","2012年度","","-",""
"01101","北海道 札幌市 中央区","2011100000","2011年度","","-",""
"01101","北海道 札幌市 中央区","2010100000","2010年度","","-",""
"01101","北海道 札幌市 中央区","2009100000","2009年度","","-",""
"01101","北海道 札幌市 中央区","2008100000","2008年度","","-",""
"01101","北海道 札幌市 中央区","2007100000","2007年度","","-",""
"01101","北海道 札幌市 中央区","2006100000","2006年度","","-",""
"01101","北海道 札幌市 中央区","2005100000","2005年度","","-",""
"01101","北海道 札幌市 中央区","2004100000","2004年度","","-",""
"01101","北海道 札幌市 中央区","2003100000","2003年度","","-",""
"01101","北海道 札幌市 中央区","2002100000","2002年度","","-",""
"01101","北海道 札幌市 中央区","2001100000","2001年度","","-",""
"01102","北海道 札幌市 北区","2020100000","2020年度","","-",""
"01102","北海道 札幌市 北区","2019100000","2019年度","","-",""
"01102","北海道 札幌市 北区","2018100000","2018年度","","-",""
"01102","北海道 札幌市 北区","2017100000","2017年度","","-",""
"01102","北海道 札幌市 北区","2016100000","2016年度","","-",""
"01102","北海道 札幌市 北区","2015100000","2015年度","","-",""
"01102","北海道 札幌市 北区","2014100000","2014年度","","-",""
"01102","北海道 札幌市 北区","2013100000","2013年度","","-",""
"01102","北海道 札幌市 北区","2012100000","2012年度","","-",""
"01102","北海道 札幌市 北区","2011100000","2011年度","","-",""
"01102","北海道 札幌市 北区","2010100000","2010年度","","-",""
"01102","北海道 札幌市 北区","2009100000","2009年度","","-",""
"01102","北海道 札幌市 北区","2008100000","2008年度","","-",""
"01102","北海道 札幌市 北区","2007100000","2007年度","","-",""
"01102","北海道 札幌市 北区","2006100000","2006年度","","-",""
"01102","北海道 札幌市 北区","2005100000","2005年度","","-",""
"01102","北海道 札幌市 北区","2004100000","2004年度","","-",""
"01102","北海道 札幌市 北区","2003100000","2003年度","","-",""
"01102","北海道 札幌市 北区","2002100000","2002年度","","-",""
"01102","北海道 札幌市 北区","2001100000","2001年度","","-",""
"01103","北海道 札幌市 東区","2020100000","2020年度","","-",""
"01103","北海道 札幌市 東区","2019100000","2019年度","","-",""
"01103","北海道 札幌市 東区","2018100000","2018年度","","-",""
"01103","北海道 札幌市 東区","2017100000","2017年度","","-",""
"01103","北海道 札幌市 東区","2016100000","2016年度","","-",""
"01103","北海道 札幌市 東区","2015100000","2015年度","","-",""
"01103","北海道 札幌市 東区","2014100000","2014年度","","-",""
"01103","北海道 札幌市 東区","2013100000","2013年度","","-",""
"01103","北海道 札幌市 東区","2012100000","2012年度","","-",""
"01103","北海道 札幌市 東区","2011100000","2011年度","","-",""
"01103","北海道 札幌市 東区","2010100000","2010年度","","-",""
"01103","北海道 札幌市 東区","2009100000","2009年度","","-",""
"01103","北海道 札幌市 東区","2008100000","2008年度","","-",""
"01103","北海道 札幌市 東区","2007100000","2007年度","","-",""
"01103","北海道 札幌市 東区","2006100000","2006年度","","-",""
"01103","北海道 札幌市 東区","2005100000","2005年度","","-",""
"01103","北海道 札幌市 東区","2004100000","2004年度","","-",""
"01103","北海道 札幌市 東区","2003100000","2003年度","","-",""
"01103","北海道 札幌市 東区","2002100000","2002年度","","-",""
"01103","北海道 札幌市 東区","2001100000","2001年度","","-",""
"01104","北海道 札幌市 白石区","2020100000","2020年度","","-",""
"01104","北海道 札幌市 白石区","2019100000","2019年度","","-",""
"01104","北海道 札幌市 白石区","2018100000","2018年度","","-",""
"01104","北海道 札幌市 白石区","2017100000","2017年度","","-",""
"01104","北海道 札幌市 白石区","2016100000","2016年度","","-",""
"01104","北海道 札幌市 白石区","2015100000","2015年度","","-",""
"01104","北海道 札幌市 白石区","2014100000","2014年度","","-",""
"01104","北海道 札幌市 白石区","2013100000","2013年度","","-",""
"01104","北海道 札幌市 白石区","2012100000","2012年度","","-",""
"01104","北海道 札幌市 白石区","2011100000","2011年度","","-",""
"01104","北海道 札幌市 白石区","2010100000","2010年度","","-",""
"01104","北海道 札幌市 白石区","2009100000","2009年度","","-",""
"01104","北海道 札幌市 白石区","2008100000","2008年度","","-",""
"01104","北海道 札幌市 白石区","2007100000","2007年度","","-",""
"01104","北海道 札幌市 白石区","2006100000","2006年度","","-",""
"01104","北海道 札幌市 白石区","2005100000","2005年度","","-",""
"01104","北海道 札幌市 白石区","2004100000","2004年度","","-",""
"01104","北海道 札幌市 白石区","2003100000","2003年度","","-",""
"01104","北海道 札幌市 白石区","2002100000","2002年度","","-",""
"01104","北海道 札幌市 白石区","2001100000","2001年度","","-",""
"01105","北海道 札幌市 豊平区","2020100000","2020年度","","-",""
"01105","北海道 札幌市 豊平区","2019100000","2019年度","","-",""
"01105","北海道 札幌市 豊平区","2018100000","2018年度","","-",""
"01105","北海道 札幌市 豊平区","2017100000","2017年度","","-",""
"01105","北海道 札幌市 豊平区","2016100000","2016年度","","-",""
"01105","北海道 札幌市 豊平区","2015100000","2015年度","","-",""
"01105","北海道 札幌市 豊平区","2014100000","2014年度","","-",""
"01105","北海道 札幌市 豊平区","2013100000","2013年度","","-",""
"01105","北海道 札幌市 豊平区","2012100000","2012年度","","-",""
"01105","北海道 札幌市 豊平区","2011100000","2011年度","","-",""
"01105","北海道 札幌市 豊平区","2010100000","2010年度","","-",""
"01105","北海道 札幌市 豊平区","2009100000","2009年度","","-",""
"01105","北海道 札幌市 豊平区","2008100000","2008年度","","-",""
"01105","北海道 札幌市 豊平区","2007100000","2007年度","","-",""
"01105","北海道 札幌市 豊平区","2006100000","2006年度","","-",""
"01105","北海道 札幌市 豊平区","2005100000","2005年度","","-",""
"01105","北海道 札幌市 豊平区","2004100000","2004年度","","-",""
"01105","北海道 札幌市 豊平区","2003100000","2003年度","","-",""
"01105","北海道 札幌市 豊平区","2002100000","2002年度","","-",""
"01105","北海道 札幌市 豊平区","2001100000","2001年度","","-",""
"01106","北海道 札幌市 南区","2020100000","2020年度","","-",""
"01106","北海道 札幌市 南区","2019100000","2019年度","","-",""
"01106","北海道 札幌市 南区","2018100000","2018年度","","-",""
"01106","北海道 札幌市 南区","2017100000","2017年度","","-",""
"01106","北海道 札幌市 南区","2016100000","2016年度","","-",""
"01106","北海道 札幌市 南区","2015100000","2015年度","","-",""
